page,definition,url,bucket_1_collection,bucket_2_authorization,bucket_3_collaboration,bucket_4_sharing,bucket_5_re-use,bucket_6_moving,bucket_7_travel,bucket_8_deposit,bucket_9_storage,bucket_10_active-management,bucket_11_policies,bucket_12_destruction-retention,bucket_13_hpc,bucket_14,bucket_15
Collecting anonymous data,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",anonymous-data,collection,authorization,,,,,,,,,,,,,
Data collection tools,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",collection-tools,collection,authorization,,,,,,,,,,,,,
Data curation,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",curation,,,,,,,,deposit,,,,destruction-retention,,,
Data licencing / Copyright / Ownership,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",licencing-copyright,,,collaborations,sharing,re-use,,,deposit,storage,active-management,,,,,
Data Stewardship,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",stewardship,,,,,re-use,,,deposit,,,,destruction-retention,,,
Data transfer,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",transfer,collection,authorization,collaborations,sharing,,,travel,,,,,,,,
De-identifying data,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",de-identifcation,collection,authorization,,,,,,deposit,storage,active-management,,,hpc,,
Do I need an ethics application,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",ethics,,,,,,,,,,,,,,,
Do I need to amend my ethics application,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",amend-ethics,collection,authorization,collaborations,sharing,re-use,moving,travel,deposit,storage,active-management,,,,,
From UBC,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",from-ubc,,,collaborations,sharing,,moving,,,,,,,,,
Health data governance,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",health-governance,collection,authorization,,,,,,deposit,,,,destruction-retention,,,
Indigenous data governance,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",indigenous-governance,collection,authorization,,,,,,deposit,,,,destruction-retention,,,
Informed consent,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",consent,collection,authorization,collaborations,sharing,re-use,moving,travel,deposit,,,,,,,
Data deposit,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",data-deposit,,,collaborations,sharing,,,,deposit,storage,active-management,,destruction-retention,,,
Metadata,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",metadata,collection,authorization,,,,,,deposit,,,,,,,
My data,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",my-data,,,,,re-use,,,,,,,,,,
My research repository,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",my-repository,collection,authorization,,,,,,,storage,active-management,,,,,
Policies,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",policies,collection,authorization,collaborations,sharing,re-use,moving,travel,deposit,storage,active-management,policies,destruction-retention,,,
Information Security,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",security,,,,,,,,,,,,,,,
Information Privacy,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",privacy,,,,,,,,,,,,,,,
Short term storage options,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",short-term,,,,,,,,,storage,active-management,,,,,
Someone else's data,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",someone-else,collection,authorization,,,re-use,,,,,,,,,,
To UBC,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",to-ubc,,,collaborations,sharing,,moving,,,,,,,,,
Tri-Agency resources,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",tri-agency,,,,,,,,,,,policies,,,,
Waivers of consent,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",waivers,,,,,re-use,moving,,,,,,,,,
Appropriate re-use of data (Scholarly Integrity),"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",re-use,,,,,,,,,,,,,,,
Sharing Data,"Breif definition. Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua.",sharing,,,,,,,,,,,,,,,